dataid,date,day number,time,time quarter number,grid,grid1,solar,solar1,price,battery
3456,10/31/2018,304,0:00,1,0.361,-0.361,-0.008,0.008,6.91,0
3456,10/31/2018,304,0:15,2,0.3,-0.3,-0.008,0.008,6.91,0
3456,10/31/2018,304,0:30,3,0.222,-0.222,-0.007,0.007,6.91,0
3456,10/31/2018,304,0:45,4,0.35,-0.35,-0.008,0.008,6.91,0
3456,10/31/2018,304,1:00,5,0.358,-0.358,-0.008,0.008,6.91,0
3456,10/31/2018,304,1:15,6,0.261,-0.261,-0.007,0.007,6.91,0
3456,10/31/2018,304,1:30,7,0.248,-0.248,-0.007,0.007,6.91,0
3456,10/31/2018,304,1:45,8,0.363,-0.363,-0.008,0.008,6.91,0
3456,10/31/2018,304,2:00,9,0.344,-0.344,-0.008,0.008,6.91,0
3456,10/31/2018,304,2:15,10,0.221,-0.221,-0.007,0.007,6.91,0
3456,10/31/2018,304,2:30,11,0.304,-0.304,-0.008,0.008,6.91,0
3456,10/31/2018,304,2:45,12,0.36,-0.36,-0.008,0.008,6.91,0
3456,10/31/2018,304,3:00,13,0.291,-0.291,-0.008,0.008,6.91,0
3456,10/31/2018,304,3:15,14,0.221,-0.221,-0.007,0.007,6.91,0
3456,10/31/2018,304,3:30,15,0.359,-0.359,-0.008,0.008,6.91,0
3456,10/31/2018,304,3:45,16,0.357,-0.357,-0.008,0.008,6.91,0
3456,10/31/2018,304,4:00,17,0.235,-0.235,-0.007,0.007,6.91,0
3456,10/31/2018,304,4:15,18,0.274,-0.274,-0.007,0.007,6.91,0
3456,10/31/2018,304,4:30,19,0.361,-0.361,-0.008,0.008,6.91,0
3456,10/31/2018,304,4:45,20,0.307,-0.307,-0.008,0.008,6.91,0
3456,10/31/2018,304,5:00,21,0.219,-0.219,-0.007,0.007,9.51,0
3456,10/31/2018,304,5:15,22,0.339,-0.339,-0.008,0.008,9.51,0
3456,10/31/2018,304,5:30,23,0.358,-0.358,-0.008,0.008,9.51,0
3456,10/31/2018,304,5:45,24,0.236,-0.236,-0.007,0.007,9.51,0
3456,10/31/2018,304,6:00,25,0.274,-0.274,-0.007,0.007,9.51,0
3456,10/31/2018,304,6:15,26,0.362,-0.362,-0.008,0.008,9.51,0
3456,10/31/2018,304,6:30,27,0.296,-0.296,-0.008,0.008,9.51,0
3456,10/31/2018,304,6:45,28,0.22,-0.22,-0.007,0.007,9.51,0
3456,10/31/2018,304,7:00,29,0.352,-0.352,-0.008,0.008,9.51,0
3456,10/31/2018,304,7:15,30,0.355,-0.355,-0.008,0.008,9.51,0
3456,10/31/2018,304,7:30,31,0.221,-0.221,-0.007,0.007,9.51,0
3456,10/31/2018,304,7:45,32,0.273,-0.273,-0.011,0.011,9.51,0
3456,10/31/2018,304,8:00,33,0.31,-0.31,-0.008,0.008,9.51,0
3456,10/31/2018,304,8:15,34,0.145,-0.145,0.076,-0.076,9.51,0
3456,10/31/2018,304,8:30,35,0.05,-0.05,0.124,-0.124,9.51,0
3456,10/31/2018,304,8:45,36,0.187,-0.187,0.121,-0.121,9.51,0
3456,10/31/2018,304,9:00,37,-0.13,0.13,0.408,-0.408,6.91,0
3456,10/31/2018,304,9:15,38,-0.409,0.409,0.58,-0.58,6.91,0
3456,10/31/2018,304,9:30,39,-0.135,0.135,0.403,-0.403,6.91,0
3456,10/31/2018,304,9:45,40,-0.085,0.085,0.391,-0.391,6.91,0
3456,10/31/2018,304,10:00,41,-0.186,0.186,0.383,-0.383,6.91,0
3456,10/31/2018,304,10:15,42,-0.05,0.05,0.353,-0.353,6.91,0
3456,10/31/2018,304,10:30,43,0.01,-0.01,0.377,-0.377,6.91,0
3456,10/31/2018,304,10:45,44,-0.154,0.154,0.479,-0.479,6.91,0
3456,10/31/2018,304,11:00,45,-0.246,0.246,0.563,-0.563,6.91,0
3456,10/31/2018,304,11:15,46,-0.481,0.481,0.793,-0.793,6.91,0
3456,10/31/2018,304,11:30,47,-1.723,1.723,2.039,-2.039,6.91,0
3456,10/31/2018,304,11:45,48,-1.137,1.137,1.324,-1.324,6.91,0
3456,10/31/2018,304,12:00,49,-1.267,1.267,1.519,-1.519,6.91,0
3456,10/31/2018,304,12:15,50,-2.576,2.576,2.908,-2.908,6.91,0
3456,10/31/2018,304,12:30,51,-1.276,1.276,1.578,-1.578,6.91,0
3456,10/31/2018,304,12:45,52,-1.474,1.474,1.657,-1.657,6.91,0
3456,10/31/2018,304,13:00,53,-0.85,0.85,1.107,-1.107,6.91,0
3456,10/31/2018,304,13:15,54,-1.184,1.184,1.501,-1.501,6.91,0
3456,10/31/2018,304,13:30,55,-0.802,0.802,1.05,-1.05,6.91,0
3456,10/31/2018,304,13:45,56,-0.889,0.889,1.065,-1.065,6.91,0
3456,10/31/2018,304,14:00,57,-0.78,0.78,1.089,-1.089,6.91,0
3456,10/31/2018,304,14:15,58,-0.939,0.939,1.251,-1.251,6.91,0
3456,10/31/2018,304,14:30,59,-0.882,0.882,1.07,-1.07,6.91,0
3456,10/31/2018,304,14:45,60,-0.758,0.758,0.99,-0.99,6.91,0
3456,10/31/2018,304,15:00,61,-0.591,0.591,0.905,-0.905,6.91,0
3456,10/31/2018,304,15:15,62,-0.993,0.993,1.252,-1.252,6.91,0
3456,10/31/2018,304,15:30,63,-0.734,0.734,0.909,-0.909,6.91,0
3456,10/31/2018,304,15:45,64,-0.633,0.633,0.931,-0.931,6.91,0
3456,10/31/2018,304,16:00,65,-0.45,0.45,0.759,-0.759,6.91,0
3456,10/31/2018,304,16:15,66,-0.299,0.299,0.482,-0.482,6.91,0
3456,10/31/2018,304,16:30,67,-0.062,0.062,0.286,-0.286,6.91,0
3456,10/31/2018,304,16:45,68,-0.232,0.232,0.543,-0.543,6.91,0
3456,10/31/2018,304,17:00,69,0.089,-0.089,0.154,-0.154,9.51,0
3456,10/31/2018,304,17:15,70,0.04,-0.04,0.126,-0.126,9.51,0
3456,10/31/2018,304,17:30,71,0.263,-0.263,0.031,-0.031,9.51,0
3456,10/31/2018,304,17:45,72,0.309,-0.309,-0.01,0.01,9.51,0
3456,10/31/2018,304,18:00,73,0.177,-0.177,-0.007,0.007,9.51,0
3456,10/31/2018,304,18:15,74,0.27,-0.27,-0.007,0.007,9.51,0
3456,10/31/2018,304,18:30,75,0.386,-0.386,-0.008,0.008,9.51,0
3456,10/31/2018,304,18:45,76,0.324,-0.324,-0.007,0.007,9.51,0
3456,10/31/2018,304,19:00,77,0.274,-0.274,-0.007,0.007,9.51,0
3456,10/31/2018,304,19:15,78,0.419,-0.419,-0.008,0.008,9.51,0
3456,10/31/2018,304,19:30,79,0.398,-0.398,-0.008,0.008,9.51,0
3456,10/31/2018,304,19:45,80,0.275,-0.275,-0.007,0.007,9.51,0
3456,10/31/2018,304,20:00,81,0.359,-0.359,-0.008,0.008,9.51,0
3456,10/31/2018,304,20:15,82,0.414,-0.414,-0.008,0.008,9.51,0
3456,10/31/2018,304,20:30,83,0.316,-0.316,-0.007,0.007,9.51,0
3456,10/31/2018,304,20:45,84,0.302,-0.302,-0.007,0.007,9.51,0
3456,10/31/2018,304,21:00,85,0.417,-0.417,-0.008,0.008,6.91,0
3456,10/31/2018,304,21:15,86,0.367,-0.367,-0.008,0.008,6.91,0
3456,10/31/2018,304,21:30,87,0.276,-0.276,-0.007,0.007,6.91,0
3456,10/31/2018,304,21:45,88,0.362,-0.362,-0.008,0.008,6.91,0
3456,10/31/2018,304,22:00,89,0.369,-0.369,-0.008,0.008,6.91,0
3456,10/31/2018,304,22:15,90,0.234,-0.234,-0.007,0.007,6.91,0
3456,10/31/2018,304,22:30,91,0.278,-0.278,-0.007,0.007,6.91,0
3456,10/31/2018,304,22:45,92,0.364,-0.364,-0.008,0.008,6.91,0
3456,10/31/2018,304,23:00,93,0.281,-0.281,-0.007,0.007,6.91,0
3456,10/31/2018,304,23:15,94,0.22,-0.22,-0.007,0.007,6.91,0
3456,10/31/2018,304,23:30,95,0.365,-0.365,-0.008,0.008,6.91,0
3456,10/31/2018,304,23:45,96,0.33,-0.33,-0.008,0.008,6.91,0
